StrandDiameter,Strands,A,AirGap,B,C,Current,D,E,Frequency,phi_A,phi_B,Turns,StrandedLossAC,CoreLoss,L,CoreType
0.156,60,26.5,1.569,24.8,16.1,5.17,19.0,15.5,145,12.0,22.5,29,12212.5008349085,1837.38,108.586911059588,PQ26/25
0.077,500,40.5,1.336,30.3,20.0,2.41,28.0,28.0,600,14.9,37.0,16,2223.11133698754,1942.54,57.407741174274996,PQ40/30
0.107,250,26.5,1.427,24.8,16.1,6.61,19.0,15.5,307,12.0,22.5,13,7408.834541586521,2096.55,23.5600610482135,PQ26/25
0.078,80,20.5,2.482,16.2,10.3,3.71,14.0,12.5,585,8.8,18.0,21,3403.14212738871,727.087,22.2061344388029,PQ20/16
0.08,50,20.5,1.423,16.2,10.3,0.65,14.0,12.5,551,8.8,18.0,62,1820.30764271136,382.121,306.29189715969204,PQ20/16
0.191,30,40.5,0.554,30.3,20.0,0.96,28.0,28.0,97,14.9,37.0,68,1663.46707653354,1870.7,2141.9612541851097,PQ40/30
0.083,150,40.5,1.958,39.8,29.5,8.2,28.0,28.0,511,14.9,37.0,7,893.390848541548,2665.12,8.36181919116825,PQ40/40
0.096,50,20.5,2.455,16.2,10.3,3.6,14.0,12.5,383,8.8,18.0,43,16145.597995876098,2105.76,94.0002723232286,PQ20/16
0.152,40,50.0,2.027,50.0,36.1,18.46,32.5,31.5,153,20.0,44.0,10,6326.11334997266,10731.3,27.4581292781906,PQ50/50
0.079,600,26.5,1.781,24.8,16.1,5.24,19.0,15.5,562,12.0,22.5,10,4847.38542877707,1059.61,11.639106880999,PQ26/25
0.118,120,26.5,0.741,20.2,11.5,2.12,19.0,15.5,252,12.0,22.5,22,2349.86672769849,931.944,114.41491098046001,PQ26/20
0.11,40,26.5,2.109,20.2,11.5,1.74,19.0,15.5,290,12.0,22.5,78,20292.5681294769,1983.06,595.395875851343,PQ26/20
0.095,200,50.0,1.875,40.0,26.1,1.81,32.0,31.5,393,20.0,44.0,63,28242.380770234,15555.6,1134.76137418539,PQ50/40
0.097,350,107.0,0.552,87.0,56.0,1.91,70.0,72.5,51,41.0,93.7,33,171.140611439817,7499.33,3323.81748228742,PQ107/87
0.082,350,26.5,2.353,20.2,11.5,6.83,19.0,15.5,519,12.0,22.5,11,7361.0457797887,945.855,10.7977300549371,PQ26/20
0.146,150,35.1,1.012,34.8,25.0,4.32,26.0,23.5,166,14.3,32.0,20,4048.18957810357,3071.82,104.350188935445,PQ35/35
0.106,500,40.5,1.582,39.8,29.5,5.73,28.0,28.0,317,14.9,37.0,16,9110.51239834672,5867.13,51.3974140223249,PQ40/40
0.2,200,50.0,0.614,40.0,26.1,6.45,32.0,31.5,83,20.0,44.0,12,2327.00637665803,3676.67,104.811556648924,PQ50/40
0.099,150,32.0,2.169,20.5,11.5,5.12,22.0,19.0,362,13.4,27.5,26,23222.2175906246,3487.12,80.3578392621793,PQ32/20
0.087,200,16.4,0.718,11.6,6.7,2.89,11.2,9.6,468,7.0,14.4,7,317.409229394238,91.0377,4.47002470772985,PQ16/11.6
0.097,80,20.5,0.891,20.2,14.3,1.94,14.0,12.5,374,8.8,18.0,26,1634.07220500516,1243.31,80.5593014405887,PQ20/20
0.138,30,40.5,0.846,39.8,29.5,4.79,28.0,28.0,186,14.9,37.0,15,913.788805156663,4192.8,73.8417979373316,PQ40/40
0.107,350,35.1,2.431,34.8,25.0,11.92,26.0,23.5,310,14.3,32.0,13,18118.507081914602,7624.79,22.2015141091865,PQ35/35
0.2,60,107.0,0.883,87.0,56.0,9.87,70.0,72.5,57,41.0,93.7,11,1452.34298366912,13009.4,245.588612535225,PQ107/87
0.154,10,20.5,0.493,16.2,10.3,0.65,14.0,12.5,149,8.8,18.0,72,660.312050276742,507.907,989.789835556429,PQ20/16
0.176,30,32.0,1.339,30.4,21.3,2.6,22.0,19.0,114,13.4,27.5,45,4367.04442344581,1373.3,371.255861204765,PQ32/30
0.101,180,50.0,2.453,50.0,36.1,2.14,32.5,31.5,345,20.0,44.0,66,30872.2872858194,16208.6,1030.03614334413,PQ50/50
0.106,350,32.0,1.774,20.5,11.5,7.74,22.0,19.0,317,13.4,27.5,13,16203.430347057001,2042.6799999999998,23.725632854083,PQ32/20
0.087,40,16.4,0.76,11.6,6.7,1.08,11.2,9.6,462,7.0,14.4,20,222.527683278378,93.8113,34.8115543855001,PQ16/11.6
0.098,350,50.0,2.437,50.0,36.1,7.12,32.5,31.5,367,20.0,44.0,21,21763.9967489043,21470.1,104.817173849766,PQ50/50
0.148,100,26.5,1.2,20.2,11.5,5.88,19.0,15.5,161,12.0,22.5,18,8152.55031392019,1202.35,50.9671958522423,PQ26/20
0.114,250,32.0,1.419,30.4,21.3,5.62,22.0,19.0,271,13.4,27.5,16,7180.61970095446,3007.48,44.7857640644096,PQ32/30
0.1,120,20.5,0.517,16.2,10.3,2.07,14.0,12.5,354,8.8,18.0,15,689.797008584813,769.024,41.2274909510776,PQ20/16
0.115,80,26.5,1.508,20.2,11.5,2.75,19.0,15.5,269,12.0,22.5,34,9413.82219706689,1362.83,149.921506570831,PQ26/20
0.082,150,32.0,1.536,20.5,11.5,1.68,22.0,19.0,529,13.4,27.5,26,2702.9334743956597,773.4069999999999,106.848341180136,PQ32/20
0.102,10,16.4,1.706,11.6,6.7,1.27,11.2,9.6,341,7.0,14.4,78,4017.1209551438496,510.521,271.571432147709,PQ16/11.6
0.109,50,16.4,1.168,11.6,6.7,2.89,11.2,9.6,297,7.0,14.4,24,2999.3161561448496,359.763,35.1781485218292,PQ16/11.6
0.171,120,50.0,1.785,40.0,26.1,8.4,32.0,31.5,120,20.0,44.0,20,11995.5408188921,5375.38,119.133305221898,PQ50/40
0.098,200,107.0,1.025,87.0,56.0,3.5,70.0,72.5,367,41.0,93.7,18,1653.3254451953,67572.3,576.026442274916,PQ107/87
0.191,150,40.5,1.963,39.8,29.5,14.51,28.0,28.0,97,14.9,37.0,16,17382.692044579202,4855.25,43.6787383913195,PQ40/40
